patient_id,mrn,first_name,last_name,date_of_birth,gender,ssn,phone,email,address,city,state,zip_code,emergency_contact_name,emergency_contact_phone,primary_insurance_id,secondary_insurance_id,blood_type,is_active,registration_date
PAT000001,MRN1000001,Sarah,Taylor,1939-05-13,Male,827-88-9078,555-772-6058,patient1@hotmail.com,6412 Oak Ave,Phoenix,CA,50870,Mary White,555-134-1255,INS000277,INS000987,AB-,True,2020-08-11 23:53:57.965615
PAT000002,MRN1000002,Elizabeth,Jackson,1949-09-23,Male,892-35-9957,555-168-9412,patient2@outlook.com,2400 Oak Ave,Los Angeles,AZ,69039,Charles Smith,555-807-7880,INS000723,,B-,True,2024-12-17 23:53:57.965615
PAT000003,MRN1000003,Patricia,White,1974-02-15,Female,663-20-9703,555-535-5379,patient3@outlook.com,5301 Lake Dr,Houston,FL,15053,Christopher Smith,555-276-8979,INS000970,,O-,True,2019-10-17 23:53:57.965615
PAT000004,MRN1000004,Christopher,Brown,1971-04-15,Male,250-69-5080,555-803-9563,patient4@email.com,6236 Park Ave,Philadelphia,PA,75841,Jessica Davis,555-684-6418,INS000485,,AB+,True,2024-02-03 23:53:57.965615
PAT000005,MRN1000005,Sarah,Williams,2007-08-21,Male,102-95-8029,555-838-3604,patient5@gmail.com,2832 Park Ave,Phoenix,PA,57337,Jessica Jackson,555-829-6494,INS000541,,B+,True,2023-05-26 23:53:57.965615
PAT000006,MRN1000006,David,Thomas,1977-04-10,Female,339-49-4692,555-306-1060,patient6@hotmail.com,4316 Oak Ave,San Diego,NY,64273,Elizabeth Martin,555-997-3033,INS000605,,A+,True,2022-05-11 23:53:57.965615
PAT000007,MRN1000007,Robert,Martin,1985-09-07,Male,445-96-5710,555-612-9552,patient7@hotmail.com,2947 Park Ave,Phoenix,FL,10178,Charles Martin,555-412-3969,INS000216,,AB-,True,2023-05-02 23:53:57.965615
PAT000008,MRN1000008,James,Anderson,1981-08-04,Female,612-74-3928,555-872-3115,patient8@outlook.com,570 Hill Rd,Los Angeles,CA,85041,Lisa Lee,555-708-6822,INS000876,,AB-,True,2024-08-04 23:53:57.965615
PAT000009,MRN1000009,Nancy,Jones,1992-03-03,Male,841-18-9654,555-959-6242,patient9@email.com,4319 Hill Rd,San Antonio,AZ,46030,Elizabeth Rodriguez,555-361-5670,INS000350,INS000334,AB-,True,2020-07-23 23:53:57.965615
PAT000010,MRN1000010,John,Wilson,1961-04-18,Female,629-45-7877,555-905-9519,patient10@outlook.com,2041 Hill Rd,Dallas,AZ,16260,David Anderson,555-727-7343,INS000024,,AB-,True,2020-09-19 23:53:57.965615
PAT000011,MRN1000011,Linda,Jackson,2000-09-06,Male,649-12-7638,555-994-7495,patient11@yahoo.com,7342 Park Ave,Philadelphia,NY,60645,Nancy Lee,555-538-6395,INS000969,,B-,True,2023-07-27 23:53:57.965615
PAT000012,MRN1000012,Richard,Martin,1974-03-04,Male,514-43-1299,555-813-9426,patient12@hotmail.com,2717 Main St,Philadelphia,FL,69406,Nancy Rodriguez,555-400-3264,INS000828,,AB-,True,2020-07-20 23:53:57.965615
