provider_id,npi,first_name,last_name,specialty,sub_specialty,degree,license_number,license_state,facility_id,phone,email,is_accepting_patients,is_active,hire_date,created_date
PRV000001,1000000001,Lisa,Nelson,Cardiology,Critical Care,MD,LIC525866,NY,FAC000317,555-793-5277,dr.walker79@wrshealthproviders.com,True,True,2010-10-17,2025-08-24 23:53:57.981590
PRV000002,1000000002,James,Green,Emergency Medicine,,MD,LIC698400,IL,FAC000532,555-115-1001,dr.nelson32@wrshealthproviders.com,True,True,2022-10-10,2025-09-12 23:53:57.981590
PRV000003,1000000003,Laura,Thompson,Pediatrics,,NP,LIC753231,FL,FAC000264,555-525-2267,dr.robinson60@wrshealthproviders.com,False,True,2012-03-02,2021-03-24 23:53:57.981590
PRV000004,1000000004,Jennifer,King,Cardiology,Sports Medicine,MD,LIC814888,NY,FAC000006,555-313-9588,dr.king22@wrshealthproviders.com,True,True,2014-03-12,2023-01-01 23:53:57.981590
PRV000005,1000000005,Lisa,Baker,Ophthalmology,Interventional,NP,LIC138941,NY,FAC001000,555-490-6482,dr.king20@wrshealthproviders.com,True,True,2023-03-27,2025-09-09 23:53:57.981590
PRV000006,1000000006,Sarah,Baker,Ophthalmology,Sports Medicine,MD,LIC782431,NY,FAC000051,555-376-7985,dr.hall19@wrshealthproviders.com,False,True,2004-08-29,2021-10-05 23:53:57.981590
PRV000007,1000000007,William,Scott,Obstetrics and Gynecology,Geriatrics,DO,LIC503100,IL,FAC000014,555-512-1868,dr.allen31@wrshealthproviders.com,True,True,2012-11-25,2023-08-31 23:53:57.981590
PRV000008,1000000008,Thomas,Baker,Ophthalmology,Geriatrics,NP,LIC425235,CA,FAC000042,555-275-6129,dr.allen90@wrshealthproviders.com,True,True,2010-05-28,2022-11-03 23:53:57.981590
PRV000009,1000000009,Jennifer,Nelson,Family Medicine,Pain Management,MD,LIC736466,PA,FAC000911,555-975-2392,dr.clark13@wrshealthproviders.com,True,True,2011-01-18,2021-11-26 23:53:57.981590
PRV000010,1000000010,James,Martinez,Orthopedics,Interventional,MD,LIC927990,IL,FAC000301,555-377-5088,dr.walker73@wrshealthproviders.com,True,True,2008-03-31,2025-02-01 23:53:57.981590
PRV000011,1000000011,William,Clark,Pediatrics,Interventional,MD,LIC422699,NY,FAC000039,555-449-9888,dr.wright95@wrshealthproviders.com,False,True,2009-12-16,2025-02-09 23:53:57.981590
PRV000012,1000000012,Robert,Clark,Dermatology,Geriatrics,DO,LIC754117,CA,FAC000024,555-839-1678,dr.nelson74@wrshealthproviders.com,False,True,2025-01-13,2024-11-22 23:53:57.981590
PRV000013,1000000013,Michael,Thompson,Obstetrics and Gynecology,Pain Management,MD,LIC353751,IL,FAC000300,555-954-5534,dr.green42@wrshealthproviders.com,False,True,2022-05-03,2021-02-22 23:53:57.981590
PRV000014,1000000014,John,Hall,Ophthalmology,Sports Medicine,DO,LIC448162,PA,FAC000731,555-948-8716,dr.green22@wrshealthproviders.com,True,True,2023-07-13,2022-01-27 23:53:57.981590
PRV000015,1000000015,Michael,Thompson,General Surgery,Pain Management,MD,LIC558327,FL,FAC000423,555-185-2050,dr.anderson63@wrshealthproviders.com,True,True,2020-12-27,2022-09-25 23:53:57.981590
PRV000016,1000000016,David,Clark,Ophthalmology,Sports Medicine,MD,LIC780656,AZ,FAC000261,555-949-1506,dr.walker29@wrshealthproviders.com,True,True,2023-09-30,2023-06-03 23:53:57.981590
PRV000017,1000000017,James,Baker,Neurology,,MD,LIC465202,IL,FAC000870,555-905-1533,dr.wright3@wrshealthproviders.com,True,True,2008-01-23,2023-12-02 23:53:57.981590
PRV000018,1000000018,Richard,King,Orthopedics,,MD,LIC875004,IL,FAC000368,555-410-6553,dr.anderson54@wrshealthproviders.com,True,True,2020-08-26,2022-05-30 23:53:57.981590
PRV000019,1000000019,Michelle,Baker,Cardiology,Sports Medicine,MD,LIC829821,IL,FAC000258,555-153-2358,dr.allen89@wrshealthproviders.com,True,True,2008-01-23,2023-11-06 23:53:57.981590
PRV000020,1000000020,Lisa,Allen,Orthopedics,Sports Medicine,NP,LIC993701,TX,FAC000639,555-423-4971,dr.king99@wrshealthproviders.com,True,True,2016-02-17,2025-02-07 23:53:57.981590
PRV000021,1000000021,Laura,Thompson,Radiology,Geriatrics,DO,LIC781025,TX,FAC000474,555-171-2843,dr.king93@wrshealthproviders.com,True,True,2014-02-03,2025-05-29 23:53:57.981590
PRV000022,1000000022,Richard,Wright,Psychiatry,Sports Medicine,MD,LIC964438,CA,FAC000395,555-685-6373,dr.thompson40@wrshealthproviders.com,False,True,2004-08-22,2023-12-27 23:53:57.981590
PRV000023,1000000023,Jennifer,Lewis,Anesthesiology,Pain Management,PA,LIC630798,NY,FAC000542,555-725-7659,dr.lewis79@wrshealthproviders.com,False,False,2021-01-05,2024-07-13 23:53:57.981590
PRV000024,1000000024,Michelle,Hall,Dermatology,,DO,LIC142698,PA,FAC000811,555-159-3475,dr.young6@wrshealthproviders.com,True,True,2011-05-10,2025-08-27 23:53:57.981590
PRV000025,1000000025,Robert,Anderson,Internal Medicine,Pain Management,PA,LIC810668,CA,FAC000217,555-593-7655,dr.nelson87@wrshealthproviders.com,True,True,2009-10-08,2024-02-02 23:53:57.981590
PRV000026,1000000026,Sarah,Walker,General Surgery,,MD,LIC336206,TX,FAC000303,555-714-4121,dr.lewis67@wrshealthproviders.com,True,True,2010-06-28,2021-04-08 23:53:57.981590
PRV000027,1000000027,Michael,Green,Neurology,Geriatrics,MD,LIC926813,NY,FAC000750,555-918-5489,dr.scott24@wrshealthproviders.com,False,True,2023-06-07,2022-02-18 23:53:57.981590
PRV000028,1000000028,James,Anderson,Neurology,Sports Medicine,MD,LIC787252,PA,FAC000991,555-915-9100,dr.wright95@wrshealthproviders.com,True,False,2008-07-24,2025-08-30 23:53:57.981590
PRV000029,1000000029,Nancy,Scott,Oncology,,DO,LIC512867,TX,FAC000549,555-596-8160,dr.wright67@wrshealthproviders.com,True,True,2016-03-10,2022-10-19 23:53:57.981590
PRV000030,1000000030,John,Baker,Pediatrics,Geriatrics,MD,LIC321423,FL,FAC000830,555-527-1814,dr.baker96@wrshealthproviders.com,True,True,2011-03-06,2022-11-23 23:53:57.981590
PRV000031,1000000031,Nancy,Nelson,Dermatology,Pain Management,MD,LIC689742,PA,FAC000452,555-967-6363,dr.lewis74@wrshealthproviders.com,True,True,2006-12-24,2025-09-16 23:53:57.981590
PRV000032,1000000032,Nancy,Nelson,Anesthesiology,Sports Medicine,MD,LIC328101,IL,FAC000360,555-362-9231,dr.walker94@wrshealthproviders.com,True,True,2010-11-29,2023-07-18 23:53:57.981590
PRV000033,1000000033,Richard,Robinson,Family Medicine,Interventional,MD,LIC523047,NY,FAC000175,555-962-6444,dr.baker3@wrshealthproviders.com,True,True,2019-05-19,2026-01-10 23:53:57.981590
PRV000034,1000000034,Emily,Lewis,Orthopedics,,DO,LIC407108,AZ,FAC000370,555-485-3452,dr.green97@wrshealthproviders.com,True,True,2004-03-27,2021-05-04 23:53:57.981590
PRV000035,1000000035,John,Allen,Family Medicine,Sports Medicine,MD,LIC610906,NY,FAC000417,555-424-8736,dr.lewis81@wrshealthproviders.com,True,True,2022-03-27,2021-09-04 23:53:57.981590
PRV000036,1000000036,Richard,Nelson,Emergency Medicine,,MD,LIC246910,PA,FAC000020,555-458-1134,dr.wright65@wrshealthproviders.com,True,True,2005-01-04,2022-03-27 23:53:57.981590
PRV000037,1000000037,Nancy,Lewis,Emergency Medicine,,DO,LIC272745,TX,FAC000289,555-957-5478,dr.baker93@wrshealthproviders.com,True,True,2015-04-28,2025-05-01 23:53:57.981590
PRV000038,1000000038,Lisa,Scott,Pediatrics,,PA,LIC419187,TX,FAC000917,555-273-3940,dr.walker49@wrshealthproviders.com,False,True,2023-03-12,2023-06-30 23:53:57.981590
PRV000039,1000000039,Thomas,King,Neurology,Pain Management,DO,LIC480444,AZ,FAC000565,555-417-7565,dr.anderson68@wrshealthproviders.com,True,True,2010-09-21,2021-12-05 23:53:57.981590
PRV000040,1000000040,Michelle,King,Ophthalmology,Critical Care,PA,LIC441004,IL,FAC000595,555-985-5275,dr.thompson48@wrshealthproviders.com,False,True,2007-08-17,2025-04-16 23:53:57.981590
PRV000041,1000000041,Emily,Baker,Radiology,,DO,LIC908678,IL,FAC000620,555-875-1932,dr.wright69@wrshealthproviders.com,True,True,2016-03-31,2022-07-26 23:53:57.981590
PRV000042,1000000042,David,Martinez,Ophthalmology,Sports Medicine,MD,LIC634760,IL,FAC000146,555-496-5316,dr.clark87@wrshealthproviders.com,True,True,2015-09-26,2022-04-28 23:53:57.981590
PRV000043,1000000043,Michael,Walker,Radiology,Critical Care,MD,LIC879931,PA,FAC000881,555-778-9195,dr.clark54@wrshealthproviders.com,True,True,2010-03-11,2025-02-08 23:53:57.981590
