Name,Email,Company,Job Title,Date Joined,Country,Salary (USD)
Michelle Rose,carriehall@yahoo.com,"Wood, Foley and Terry","Engineer, land",2023-10-29,Niger,129547.35
Paul Anderson,alicia56@gmail.com,Evans Ltd,Field seismologist,2024-03-26,Swaziland,114199.87
Terri Chang,lambertmax@hotmail.com,Watson-Mccoy,Health and safety adviser,2021-01-29,Guernsey,116572.83
Larry Williams,crossbrandon@gmail.com,Taylor-Taylor,"Solicitor, Scotland",2022-06-18,Martinique,46575.15
Gabriel Beck,meganball@yahoo.com,Osborn LLC,"Designer, television/film set",2020-07-23,Lebanon,100704.51
Emily Ford,csanchez@gmail.com,Davis and Sons,"Lighting technician, broadcasting/film/video",2021-09-19,Djibouti,73312.73
Mr. Matthew Gonzalez,kmontgomery@pham-mcguire.org,Mcdonald-Ellis,Quality manager,2020-11-10,Hungary,129488.08
James Matthews,lindsey36@hotmail.com,Hernandez Group,Structural engineer,2022-12-06,Japan,66374.74
Samuel Jones,molly66@mosley-taylor.com,"Smith, Nicholson and Morgan","Programmer, applications",2023-02-07,Chile,108585.91
Robin Long,brianamontoya@houston-ray.com,"Dunlap, Lewis and Brown","Scientist, forensic",2024-01-16,Tajikistan,43093.32
Jaclyn Allen,prosales@hotmail.com,Blackburn LLC,Jewellery designer,2021-06-12,Uganda,121494.2
Gina Montgomery,bobby93@larson-lester.com,Boyd-Thompson,Drilling engineer,2020-12-03,South Africa,107222.7
Christine Lewis,joymiller@hotmail.com,"Williams, Dixon and Smith",Associate Professor,2021-11-23,Thailand,61067.55
Matthew Gray,timothyweaver@bernard.com,"Odonnell, Luna and Reynolds",Magazine journalist,2020-10-01,Antigua and Barbuda,148280.94
Dawn Ellison,morselarry@moore.net,Smith and Sons,"Scientist, water quality",2023-11-17,French Southern Territories,124044.21
William Butler,smithlisa@peterson.net,"Marshall, Harris and Brown",Community education officer,2020-10-05,Cocos (Keeling) Islands,59602.0
Jennifer Moreno,shawnjenkins@gmail.com,"Parker, Walker and Cardenas",Adult nurse,2024-03-02,Sri Lanka,149087.1
Michael Johnson,fcaldwell@clark.net,Hill Inc,Photographer,2024-02-24,Hong Kong,84008.02
Susan Newman,gonzalezmeredith@martinez-mccoy.com,Hayes-Vaughn,Financial trader,2023-06-16,Indonesia,117531.07
Theresa Morris,qholt@howard.com,"Young, Bradley and Bauer",Web designer,2022-02-16,Philippines,58948.34
Andrew Nielsen,rhonda73@gmail.com,Rodgers and Sons,Electrical engineer,2022-07-27,Burkina Faso,114177.97
Robert Thompson,agarcia@hotmail.com,Harrison-Hammond,Cytogeneticist,2024-05-30,Algeria,111839.3
David Ortega,clinton05@casey-dean.com,Thomas-Daniels,Further education lecturer,2023-07-05,Portugal,144134.08
Eric Gonzales,perezanita@dennis.com,"Chavez, Mitchell and Davis",Secondary school teacher,2023-02-28,Antigua and Barbuda,146306.02
Miguel Cordova,regina59@cline.info,Smith and Sons,Risk analyst,2020-12-13,Guinea-Bissau,69844.76
Joan Walton,stacy10@wood.info,Becker Group,Medical sales representative,2021-10-11,United States Virgin Islands,149617.03
Jeremy Brown,robertflores@gmail.com,Hutchinson Inc,"Education officer, museum",2023-05-21,Albania,143411.7
Penny Harper,bcarter@yahoo.com,Pena Inc,Regulatory affairs officer,2021-08-18,Denmark,47973.25
Steven Carson,maciasrobert@miller.com,Mcdaniel Ltd,Textile designer,2023-12-11,Bhutan,67659.78
