Order_ID,Order_Date,Customer_ID,Customer_Email,Product_Name,Product_Category,Price,Quantity,Shipping_Cost,Status,Delivery_Date,Rating
ORD000001,2025-04-28,CUST0067,udavis@example.net,Business-focused tertiary framework,Home & Garden,401.72,3,14.73,Delivered,2025-04-30,5.0
ORD000002,2024-10-21,CUST0055,barbararamos@example.com,Implemented client-server database,Sports,458.29,9,7.48,Delivered,2024-10-27,2.0
ORD000003,2024-04-18,CUST0022,jillsmith@example.net,Re-engineered bi-directional service-desk,Books,355.74,7,19.8,Delivered,2024-04-29,2.0
ORD000004,2025-07-03,CUST0060,nicholasmcgrath@example.net,Down-sized analyzing attitude,Home & Garden,364.68,6,17.7,Delivered,2025-07-05,3.0
ORD000005,2024-08-03,CUST0098,dwhite@example.org,Profound solution-oriented Graphical User Interface,Clothing,412.75,10,24.77,Shipped,,
ORD000006,2025-02-03,CUST0032,obooker@example.net,Open-architected dynamic alliance,Home & Garden,186.07,10,19.33,Delivered,2025-02-05,3.0
ORD000007,2024-02-01,CUST0029,randyturner@example.net,Enhanced solution-oriented synergy,Books,65.42,4,12.45,Delivered,2024-02-11,5.0
ORD000008,2024-08-18,CUST0064,stricklandmichelle@example.net,Multi-tiered even-keeled product,Clothing,158.43,3,6.71,Delivered,2024-08-24,5.0
ORD000009,2025-03-22,CUST0093,hrichardson@example.org,Configurable bottom-line matrix,Books,47.04,8,10.26,Delivered,2025-04-03,2.0
ORD000010,2025-03-13,CUST0005,andrewberry@example.net,Polarized even-keeled solution,Sports,470.93,5,9.61,Delivered,2025-03-25,1.0
ORD000011,2025-06-01,CUST0050,bauerherbert@example.com,Stand-alone tangible Internet solution,Home & Garden,64.66,1,24.92,Cancelled,,
ORD000012,2024-06-19,CUST0079,corybrown@example.net,Enterprise-wide impactful standardization,Home & Garden,23.18,6,8.3,Delivered,2024-07-01,3.0
ORD000013,2023-11-16,CUST0027,ihawkins@example.net,Pre-emptive asymmetric model,Books,94.73,2,5.3,Delivered,2023-11-26,1.0
ORD000014,2025-08-12,CUST0046,molinajared@example.net,Decentralized contextually-based policy,Electronics,103.16,1,5.02,Cancelled,,
ORD000015,2025-04-23,CUST0010,adamwest@example.com,Decentralized 6thgeneration capacity,Home & Garden,67.36,1,19.75,Delivered,2025-05-05,3.0
ORD000016,2025-01-20,CUST0094,denisemiller@example.com,Versatile 5thgeneration artificial intelligence,Books,272.03,7,23.8,Delivered,2025-02-02,5.0
ORD000017,2024-02-05,CUST0020,michael82@example.com,Switchable 24hour encryption,Books,366.59,1,25.57,Delivered,2024-02-16,1.0
ORD000018,2024-06-21,CUST0083,shahapril@example.com,Switchable national intranet,Clothing,248.14,2,14.2,Shipped,,
ORD000019,2024-02-17,CUST0015,hneal@example.com,Robust national migration,Electronics,301.98,6,5.32,Delivered,2024-03-02,2.0
ORD000020,2024-04-11,CUST0027,batesbradley@example.org,Ergonomic client-server framework,Books,159.06,7,26.06,Delivered,2024-04-16,3.0
ORD000021,2025-08-26,CUST0032,susanguzman@example.org,Reverse-engineered heuristic focus group,Clothing,130.07,5,17.44,Delivered,2025-08-28,4.0
ORD000022,2024-02-08,CUST0054,qjones@example.com,Multi-tiered solution-oriented complexity,Books,418.19,8,25.86,Delivered,2024-02-18,2.0
ORD000023,2024-09-06,CUST0004,qmiller@example.net,Optimized system-worthy circuit,Sports,79.78,6,25.64,Delivered,2024-09-09,2.0
ORD000024,2024-12-21,CUST0019,chadoconnor@example.net,Total secondary core,Electronics,169.91,9,10.46,Delivered,2025-01-01,1.0
ORD000025,2025-05-08,CUST0089,anne89@example.org,Operative coherent functionalities,Books,485.6,7,28.84,Delivered,2025-05-18,3.0
ORD000026,2025-07-04,CUST0065,mgray@example.org,Compatible encompassing capability,Sports,491.8,8,20.22,Delivered,2025-07-08,5.0
ORD000027,2024-12-17,CUST0045,suttonrichard@example.com,Sharable background hierarchy,Electronics,67.01,8,14.67,Delivered,2024-12-19,3.0
ORD000028,2025-10-07,CUST0080,kimberly23@example.com,Advanced bandwidth-monitored implementation,Books,23.64,8,23.78,Delivered,2025-10-21,1.0
ORD000029,2024-04-21,CUST0021,ylynn@example.org,Enhanced multi-tasking superstructure,Home & Garden,33.8,4,18.34,Delivered,2024-04-26,2.0
ORD000030,2025-09-11,CUST0084,brianna71@example.net,Monitored tangible orchestration,Home & Garden,131.71,5,7.23,Delivered,2025-09-14,3.0
ORD000031,2025-09-03,CUST0046,andrea91@example.org,Down-sized foreground system engine,Sports,394.5,1,15.27,Delivered,2025-09-08,1.0
ORD000032,2024-08-29,CUST0051,michaelfigueroa@example.net,Reactive radical initiative,Electronics,325.44,1,6.99,Pending,,
ORD000033,2024-11-05,CUST0013,jonathonparks@example.net,Distributed stable capacity,Books,26.44,10,10.3,Delivered,2024-11-10,3.0
ORD000034,2024-02-19,CUST0094,rbradley@example.org,Up-sized scalable hub,Clothing,23.23,4,26.33,Delivered,2024-02-23,3.0
ORD000035,2025-05-03,CUST0034,erikabarnes@example.com,Enterprise-wide leadingedge help-desk,Sports,482.66,2,7.83,Delivered,2025-05-12,4.0
ORD000036,2025-07-13,CUST0022,rshaw@example.com,Programmable transitional emulation,Home & Garden,280.84,9,9.2,Delivered,2025-07-25,3.0
ORD000037,2024-06-25,CUST0034,mezarichard@example.com,Cross-group scalable artificial intelligence,Electronics,199.52,5,13.87,Delivered,2024-07-02,2.0
ORD000038,2023-12-30,CUST0082,shirleymartin@example.org,Configurable value-added forecast,Electronics,493.75,6,28.61,Delivered,2024-01-12,1.0
ORD000039,2025-01-04,CUST0049,astokes@example.com,Synergistic multimedia superstructure,Home & Garden,344.8,3,10.58,Delivered,2025-01-10,2.0
ORD000040,2024-02-14,CUST0060,rjimenez@example.net,Public-key tangible capability,Sports,320.89,3,12.62,Delivered,2024-02-18,1.0
ORD000041,2024-09-10,CUST0027,jensenrhonda@example.net,Adaptive transitional interface,Home & Garden,417.39,2,25.22,Delivered,2024-09-24,2.0
ORD000042,2025-04-29,CUST0037,john89@example.org,Robust local concept,Books,405.47,8,22.23,Delivered,2025-05-10,3.0
ORD000043,2025-04-07,CUST0063,gregoryrichardson@example.org,Profound heuristic application,Clothing,30.79,7,7.06,Delivered,2025-04-09,5.0
ORD000044,2024-09-24,CUST0008,xgray@example.org,Mandatory systematic encryption,Home & Garden,86.51,9,21.77,Delivered,2024-10-08,1.0
ORD000045,2025-08-08,CUST0088,robertstimothy@example.com,Extended 24hour support,Clothing,353.75,5,25.32,Delivered,2025-08-12,3.0
ORD000046,2025-03-05,CUST0097,trobinson@example.net,Profound 5thgeneration Local Area Network,Books,453.04,10,26.51,Delivered,2025-03-18,4.0
ORD000047,2025-09-24,CUST0033,abrown@example.net,Persevering full-range framework,Sports,132.46,9,28.72,Delivered,2025-10-02,2.0
ORD000048,2024-08-01,CUST0004,smithpamela@example.org,Open-architected heuristic access,Books,455.14,4,17.9,Delivered,2024-08-07,3.0
ORD000049,2024-01-18,CUST0090,fvasquez@example.net,Profound coherent installation,Books,345.39,5,9.21,Delivered,2024-01-29,2.0
ORD000050,2024-02-05,CUST0088,xsmith@example.net,Function-based directional leverage,Books,436.11,7,17.49,Delivered,2024-02-16,2.0
ORD000051,2024-09-03,CUST0099,kevin62@example.net,Future-proofed bi-directional intranet,Clothing,219.75,8,9.72,Delivered,2024-09-08,3.0
ORD000052,2025-03-24,CUST0001,wmartin@example.net,Optional 24hour help-desk,Books,427.31,9,27.86,Delivered,2025-04-04,4.0
ORD000053,2025-09-17,CUST0037,danielmitchell@example.org,Object-based intangible synergy,Sports,20.18,5,9.97,Delivered,2025-09-25,3.0
ORD000054,2024-07-15,CUST0068,martinjames@example.com,Synchronized encompassing capability,Home & Garden,465.3,2,20.58,Shipped,,
ORD000055,2024-09-23,CUST0054,zpierce@example.net,Universal clear-thinking Graphic Interface,Clothing,455.7,5,8.69,Delivered,2024-09-30,4.0
ORD000056,2025-06-06,CUST0066,vshaw@example.com,De-engineered bifurcated benchmark,Home & Garden,195.99,1,25.56,Pending,,
ORD000057,2025-07-08,CUST0039,martinezmaurice@example.org,Visionary systemic encoding,Electronics,477.42,9,18.67,Delivered,2025-07-17,5.0
ORD000058,2023-12-11,CUST0077,russell90@example.com,Polarized explicit forecast,Clothing,496.69,6,5.73,Delivered,2023-12-19,4.0
ORD000059,2024-11-12,CUST0013,hodgesjohn@example.org,Upgradable multimedia contingency,Clothing,26.6,2,26.21,Delivered,2024-11-20,4.0
ORD000060,2024-05-12,CUST0057,katie43@example.net,Optimized dedicated leverage,Electronics,468.53,5,8.79,Delivered,2024-05-21,5.0
ORD000061,2025-05-02,CUST0078,hayneswayne@example.org,Ergonomic optimizing product,Clothing,328.13,7,9.13,Delivered,2025-05-09,5.0
ORD000062,2025-03-07,CUST0094,jeromeanderson@example.org,Grass-roots content-based circuit,Clothing,238.73,7,25.18,Cancelled,,
ORD000063,2024-09-27,CUST0090,jensenchristopher@example.org,Multi-tiered incremental moderator,Home & Garden,263.52,5,21.16,Delivered,2024-10-02,4.0
ORD000064,2024-06-26,CUST0072,jeffreysimmons@example.org,Profound interactive project,Books,157.36,5,25.75,Delivered,2024-06-29,5.0
