Transaction_ID,Date,Product,Category,Quantity,Unit_Price,Total_Price,Customer_Name,Region,Sales_Rep,Payment_Method,Discount_Applied
TXN00001,2024-08-07,Desk Chair,Furniture,2,261.42,522.84,Allison Hill,Central,Noah Rhodes,Credit Card,0
TXN00002,2023-10-14,Laptop,Electronics,1,1414.32,1414.32,Angie Henderson,North,Daniel Wagner,Debit Card,0
TXN00003,2023-10-25,Desk Chair,Furniture,1,215.12,215.12,Cristian Santos,North,Connie Lawrence,PayPal,15
TXN00004,2023-12-20,HDMI Cable,Accessories,3,13.23,39.69,Abigail Shaffer,South,Gina Moore,Credit Card,0
TXN00005,2024-02-09,Keyboard,Accessories,5,105.84,529.2,Gabrielle Davis,East,Ryan Munoz,Cash,0
TXN00006,2024-03-31,Mouse,Accessories,3,33.26,99.78,Monica Herrera,North,Jamie Arnold,Credit Card,0
TXN00007,2023-09-28,Keyboard,Accessories,3,89.19,267.57,Lisa Hensley,West,Michele Williams,Cash,0
TXN00008,2024-01-18,USB Cable,Accessories,1,11.34,11.34,Dylan Miller,South,Brian Ramirez,Debit Card,0
TXN00009,2023-06-02,HDMI Cable,Accessories,1,17.98,17.98,Holly Wood,East,Derek Zuniga,PayPal,15
TXN00010,2023-11-20,HDMI Cable,Accessories,1,34.74,34.74,Lisa Jackson,North,Carla Gray,Debit Card,0
TXN00011,2024-12-17,Headphones,Accessories,1,280.78,280.78,Margaret Hawkins DDS,Central,Patty Perez,PayPal,10
TXN00012,2024-11-03,Mouse,Accessories,4,51.34,205.36,Ethan Adams,East,Tommy Walter,Cash,20
TXN00013,2023-11-28,USB Cable,Accessories,1,5.52,5.52,Matthew Foster,North,Judy Baker,Credit Card,0
TXN00014,2024-04-15,Desk Chair,Furniture,4,410.0,1640.0,Justin Baker,North,Stephanie Ross,Cash,0
TXN00015,2024-02-08,USB Cable,Accessories,2,15.4,30.8,Zachary Hicks,Central,Anthony Rodriguez,Credit Card,0
TXN00016,2023-03-25,Mouse,Accessories,4,74.83,299.32,Rebecca Henderson,North,James Ferrell,Cash,0
TXN00017,2023-04-26,Desk Chair,Furniture,5,584.68,2923.4,Tricia Valencia,East,Nathan Maldonado,Debit Card,0
TXN00018,2023-04-04,Desk Chair,Furniture,3,167.05,501.15,Debra Davidson,North,Jeffrey Chavez,Credit Card,15
TXN00019,2024-03-10,HDMI Cable,Accessories,4,11.02,44.08,Sherri Baker,West,Cassandra Gaines,PayPal,10
TXN00020,2023-03-04,Monitor,Electronics,2,246.58,493.16,Elizabeth Fowler,West,Brittany Farmer,Debit Card,0
TXN00021,2024-01-29,USB Cable,Accessories,5,10.49,52.45,Paula Moreno,North,Fred Smith,Cash,15
TXN00022,2023-05-15,USB Cable,Accessories,5,16.0,80.0,Sherry Decker,Central,Anthony Humphrey,Cash,0
TXN00023,2024-07-31,USB Cable,Accessories,2,14.52,29.04,Angelica Tucker,South,Philip Cannon,Cash,0
TXN00024,2023-09-10,Desk Chair,Furniture,2,580.56,1161.12,John Pierce,South,Shane Henderson,Cash,20
TXN00025,2024-11-27,Headphones,Accessories,4,143.4,573.6,Joshua Blair,East,Eric Carney,PayPal,0
TXN00026,2024-10-24,Standing Desk,Furniture,1,834.25,834.25,Jessica Holmes,Central,Danny Morgan,Cash,0
TXN00027,2024-08-08,Keyboard,Accessories,2,34.79,69.58,Crystal Robinson,West,Mark Perez,PayPal,0
TXN00028,2023-07-20,Headphones,Accessories,3,244.85,734.55,Shannon Jones,West,Michael Lewis,Cash,0
TXN00029,2023-05-13,Keyboard,Accessories,2,64.52,129.04,Timothy Duncan,South,Richard Aguirre,Debit Card,0
TXN00030,2024-09-08,Standing Desk,Furniture,3,822.98,2468.94,Brent Jordan,North,John Daniel,Debit Card,0
TXN00031,2024-07-13,Mouse,Accessories,5,19.41,97.05,Victoria Garcia,North,Gerald Hensley,PayPal,15
TXN00032,2023-03-13,Webcam,Electronics,1,57.33,57.33,Connor West,Central,Donald Wright,Cash,0
TXN00033,2024-03-07,Mouse,Accessories,3,50.41,151.23,Jessica Callahan,West,Amber Kidd,Debit Card,0
TXN00034,2024-09-18,Desk Chair,Furniture,2,268.08,536.16,Tracy House,Central,Carol Tucker,Credit Card,0
TXN00035,2024-05-25,Monitor,Electronics,2,315.39,630.78,James Brown,South,William Baker,PayPal,0
TXN00036,2023-11-03,USB Cable,Accessories,1,19.79,19.79,Jordan Henderson,North,Whitney Peters,Cash,0
TXN00037,2024-02-29,Laptop,Electronics,2,1531.49,3062.98,Brittney Phillips,Central,Lauren Daniels,Debit Card,0
TXN00038,2023-06-15,Webcam,Electronics,4,77.85,311.4,Amy Silva,West,Sarah Moore,PayPal,0
TXN00039,2023-02-08,Monitor,Electronics,3,221.13,663.39,Angela Lopez,West,Megan Young,Cash,5
TXN00040,2024-02-28,Headphones,Accessories,3,223.2,669.6,Steve Sanchez,South,Lisa Barnes,Cash,0
TXN00041,2023-07-02,Standing Desk,Furniture,3,1029.52,3088.56,Kelly Donovan,East,Mike Allen,PayPal,20
TXN00042,2023-05-17,Headphones,Accessories,5,75.2,376.0,Michael Evans,North,Paul Jones,Credit Card,0
TXN00043,2024-06-18,Monitor,Electronics,2,549.69,1099.38,Zachary Ferrell,West,Daniel Baker,PayPal,5
TXN00044,2023-06-28,HDMI Cable,Accessories,4,23.72,94.88,Shirley Suarez,West,Christopher Bass,Debit Card,0
TXN00045,2024-08-18,Monitor,Electronics,3,213.42,640.26,Lisa Archer,North,Aimee Montoya,Debit Card,0
TXN00046,2024-10-19,Keyboard,Accessories,2,117.43,234.86,Matthew Mcmillan,Central,Brian Rodriguez,PayPal,0
